Indicator,COV_Death,Tot_Death,Percent_of_Expected_Deaths,Pneu_Death,Pneu_Death_COV,Flu_Death,Pneu_Flu_COV_Death,Order
United States<sup>6</sup>,100303,1134398,102,110865,43574,6406,173072,0
Alabama,706,19485,95,1301,206,91,1889,1
Alaska,-,1368,83,65,-,-,75,2
Arizona,926,24744,105,1931,475,111,2493,3
Arkansas,139,11923,96,799,45,75,968,4
California,4170,105381,100,9689,2340,570,12088,5
Colorado,1373,16580,108,1589,705,95,2347,6
Connecticut,2539,8472,68,953,576,64,2979,7
Delaware,416,3599,101,308,150,16,590,8
District of Columbia,428,2662,113,581,426,-,591,9
Florida,2429,82217,100,6320,1266,305,7781,10
Georgia,1692,31704,97,2409,786,106,3421,11
Hawaii,16,4173,92,275,-,20,305,12
Idaho,85,5352,96,265,25,25,350,13
Illinois,5242,46966,114,5463,2670,176,8208,14
Indiana,2020,25989,101,2592,851,129,3887,15
Iowa,541,11344,96,837,148,84,1314,16
Kansas,210,9704,94,662,90,89,871,17
Kentucky,421,16605,88,1542,212,95,1845,18
Louisiana,2355,18567,105,1865,1087,71,3199,19
Maine,98,5558,98,414,21,31,522,20
Maryland,2745,22212,114,2367,1011,124,4209,21
Massachusetts,6682,29262,125,4199,2404,161,8630,22
Michigan,4889,41700,110,4714,2435,236,7400,23
Minnesota,1061,17629,103,1370,305,121,2246,24
Mississippi,720,12590,103,1262,336,51,1697,25
Missouri,724,23561,94,1520,246,175,2173,26
Montana,16,3765,94,199,-,34,246,27
Nebraska,170,6205,94,484,58,28,624,28
Nevada,394,9827,97,900,291,39,1042,29
New Hampshire,281,4939,104,365,84,30,591,30
New Jersey,12230,43179,149,8255,6011,116,14576,31
New Mexico,318,6787,94,522,128,29,741,32
New York<sup>7</sup>,9956,49538,127,8264,4896,206,13513,33
New York City,18734,45101,215,9584,7268,942,21178,34
North Carolina,576,25942,70,1811,220,219,2385,35
North Dakota,50,2122,77,188,16,19,241,36
Ohio,1806,43761,91,2930,756,251,4230,37
Oklahoma,320,13914,90,1258,127,106,1552,38
Oregon,174,13092,92,668,65,61,837,39
Pennsylvania,6039,49374,93,4647,2245,187,8625,40
Rhode Island,593,4035,99,418,235,25,801,41
South Carolina,531,19137,100,1238,209,98,1657,42
South Dakota,64,2805,88,229,26,26,293,43
Tennessee,354,27758,96,2045,148,125,2376,44
Texas,1650,75812,97,5771,721,336,7033,45
Utah,117,7283,98,402,46,40,513,46
Vermont,53,2279,101,139,12,16,196,47
Virginia,1507,27518,103,1721,502,111,2835,48
Washington,1037,21821,98,1798,552,110,2388,49
West Virginia,80,6775,77,506,24,58,620,50
Wisconsin,605,20595,100,1118,100,150,1771,51
Wyoming,13,1687,97,113,-,-,130,52
Puerto Rico,132,9699,86,1295,69,61,1418,53
,,,,,,,,
Total Deaths,100303,1134398,102,110865,43574,6406,173072,0
2/1/2020,1,57829,97,3741,0,476,4218,1
2/8/2020,1,58359,98,3729,0,514,4244,2
2/15/2020,0,57708,98,3755,0,544,4299,3
2/22/2020,4,57804,100,3633,1,557,4193,4
2/29/2020,5,58180,101,3755,3,636,4393,5
3/7/2020,32,58444,101,3887,16,619,4521,6
3/14/2020,52,57329,100,3874,27,608,4506,7
3/21/2020,547,57949,102,4454,245,540,5290,8
3/28/2020,3037,61878,111,6024,1371,438,8078,9
4/4/2020,9468,70329,126,9576,4531,460,14750,10
4/11/2020,15631,76702,138,11645,7007,465,20397,11
4/18/2020,16229,73869,137,10890,6947,258,20246,12
4/25/2020,13962,69677,129,9579,5992,142,17595,13
5/2/2020,11428,64281,120,8064,4857,57,14673,14
5/9/2020,10311,61572,117,7236,4383,45,13200,15
5/16/2020,8163,57665,110,6071,3409,18,10841,16
5/23/2020,5834,52287,100,4929,2498,15,8280,17
5/30/2020,4077,45178,87,3701,1631,7,6154,18
6/6/2020,1355,29768,56,1894,575,6,2680,19
6/13/2020,166,7590,15,428,81,1,514,20
,,,,,,,,
"June 15, 2020",,,,,,,,
